"Suggested citation: CSIS IFI COVID-19 Response Tracker, CSIS Economics Program, Last Updated October 19, 2020",,,,,,,,,,,,,,,,,,,,,,,
"Note: CSIS methodology for estimating disbursements assumes full disbursement of emergency financing instruments as indicated by the financing institutions themselves. In the case of IMF and RFA lending, disbursements are based on press releases and correspond to actual disbursement schedules. However, disbursement schedules from other official sources, including many MDB operations, are often not included in public press announcements. For purposes of this dataset, we assume full disbursement of such operations, which likely results in an overestimation of MDB disbursements.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Institution,Date,Institution Type,Type,Guarantee?,Institutional Commitment ($M),Approved Value ($M),Disbursed Value ($M),Country/Recipient,Region,GDP per capita (nominal),GDP per capita (PPP),Income group,Sector,Green,Description,Link,,,,,,,
AsDB,5.8.2020,MDB,Covid,,,30,30,Mongolia,Asia/Oceania,4295.235025,12819.94858,Lower middle income,Health,,The Asian Development Bank (ADB) has approved $30 million in extra financing for a health sector project in Mongolia to strengthen the countryÕs preparedness and response to the novel coronavirus disease (COVID-19) pandemic.,https://www.adb.org/news/adb-provides-30-million-extra-mongolia-health-project-fight-covid-19,,,,,,,
AsDB,5.6.2020,MDB,Covid,,,500,500,Bangladesh,Asia/Oceania,1855.739824,4950.743581,Lower middle income,General,,The Asian Development Bank (ADB) today approved an additional $500 million loan to bolster the efforts of the Government of Bangladesh to manage the impact of the novel coronavirus disease (COVID-19) pandemic on the countryÕs economy and the public health.,https://www.adb.org/news/adb-approves-500-million-bangladeshs-covid-19-response,,,,,,,
AsDB,5.6.2020,MDB,Covid,Yes,,25,,Sri Lanka,Asia/Oceania,3853.083693,13620.11848,Lower middle income,Health,,The Asian Development Bank (ADB) has provided a guarantee for a $25 million trade loan to the State Pharmaceuticals Corporation of Sri Lanka (SPC) to purchase medical supplies as part of the countryÕs response to the novel coronavirus disease (COVID-19) pandemic.,https://www.adb.org/news/adb-s-trade-finance-program-supports-medical-supplies-combat-pandemic-sri-lanka,,,,,,,
AsDB,5.3.2020,MDB,Covid,,,50,50,Kyrgyz Republic,Asia/Oceania,1309.392992,5470.811536,Lower middle income,General,,"The Asian Development Bank (ADB) has approved $50 million in loan and grant financing to help the Government of the Kyrgyz Republic mitigate the significant negative health, social, and economic impacts of the novel coronavirus disease (COVID-19) pandemic.",https://www.adb.org/news/adb-50-million-package-help-kyrgyz-republic-mitigate-health-social-economic-impacts-covid-19,,,,,,,
AsDB,5.3.2020,MDB,Covid,,,20,20,Bhutan,Asia/Oceania,..,..,Lower middle income,General,,"The Asian Development Bank (ADB) today approved a $20 million loan to support BhutanÕs efforts to stimulate the economy, protect public health, and mitigate the effects of the novel coronavirus disease (COVID-19) pandemic on its people.",https://www.adb.org/news/adb-approves-20-million-support-bhutans-covid-19-response,,,,,,,
AsDB,4.30.2020,MDB,Covid,,,100,100,Bangladesh,Asia/Oceania,1855.739824,4950.743581,Lower middle income,Health,,The Asian Development Bank (ADB) today approved a $100 million loan to support the Government of Bangladesh in its efforts to address the immediate public health requirements of combatting the novel coronavirus disease (COVID-19) pandemic.,https://www.adb.org/news/adb-approves-100-million-support-covid-19-response-bangladesh,,,,,,,
AsDB,4.28.2020,MDB,Covid,,,1500,1500,India,Asia/Oceania,2104.1459,7034.217224,Lower middle income,Health,,"The Asian Development Bank (ADB) today approved a $1.5 billion loan to the Government of India to help fund its response to the novel coronavirus disease (COVID-19) pandemic, including support for immediate priorities such as disease containment and prevention, as well as social protection for the poor and economically vulnerable sections of the society, especially women and disadvantaged groups.",https://www.adb.org/news/adb-approves-1-5-billion-financing-support-indias-covid-19-response,,,,,,,
AsDB,4.27.2020,MDB,Covid,,,200,200,Philippines,Asia/Oceania,3485.084218,9277.374369,Lower middle income,General,,The Asian Development Bank (ADB) today approved a $200 million loan to support the Philippine governmentÕs effort to provide emergency cash subsidies to vulnerable households amid the novel coronavirus disease (COVID-19) pandemic.,https://www.adb.org/news/adb-approves-200-million-loan-support-philippines-poor-amid-covid-19,,,,,,,
AsDB,4.24.2020,MDB,Covid,,,1500,1500,Philippines,Asia/Oceania,3485.084218,9277.374369,Lower middle income,General,,The Asian Development Bank (ADB) has approved a $1.5 billion loan to help the Philippine government fund its novel coronavirus disease (COVID-19) response program and strengthen the countryÕs health care system in its fight against the pandemic.,https://www.adb.org/news/adb-approves-1-5-billion-financing-support-philippines-covid-19-response,,,,,,,
AsDB,4.23.2020,MDB,Covid,,,1500,1500,Indonesia,Asia/Oceania,4135.569263,12301.7529,Upper middle income,General,,"The Asian Development Bank (ADB) today approved $1.5 billion in financing to support the Government of IndonesiaÕs efforts to alleviate the impact of the novel coronavirus disease (COVID-19) pandemic on public health, livelihoods, and the economy.",https://www.adb.org/news/adb-approves-1-5-billion-indonesias-covid-19-response,,,,,,,
AsDB,4.22.2020,MDB,Covid,,,15,15,Palau,Asia/Oceania,..,..,High income,General,,ADB Announces $15 Million Loan to Help Palau Combat COVID-19,https://www.adb.org/news/adb-announces-15-million-loan-help-palau-combat-covid-19,,,,,,,
AsDB,4.22.2020,MDB,Covid,,,6,6,Marshall Islands,Asia/Oceania,..,..,Upper middle income,General,,ADB Announces $6 Million Grant to Help Marshall Islands Combat COVID-19,https://www.adb.org/news/adb-announces-6-million-grant-help-marshall-islands-combat-covid-19,,,,,,,
AsDB,4.20.2020,MDB,Covid,,,6,6,Micronesia,Asia/Oceania,..,..,Lower middle income,General,,ADB Announces $6 Million Grant to Help FSM Combat COVID-19,https://www.adb.org/news/adb-announces-6-million-grant-help-fsm-combat-covid-19,,,,,,,
AsDB,4.20.2020,MDB,Covid,,,1.65,1.65,Bangladesh,Asia/Oceania,1855.739824,4950.743581,Lower middle income,Health,,"ADB has already provided immediate support, including a $350,000 emergency grant for procurement of medical supplies and equipment, and $1.3 million from an existing project to provide one-time cash support to 22,619 trainees to enable them to continue their ongoing skills training program.",https://www.adb.org/news/adb-president-bangladesh-finance-minister-discuss-support-covid-19-response,,,,,,,
AsDB,4.16.2020,MDB,Covid,,,6,6,Tonga,Asia/Oceania,..,..,Upper middle income,General,,ADB Provides Tonga with $6 Million for COVID-19 Assistance,https://www.adb.org/news/adb-provides-tonga-6-million-covid-19-assistance,,,,,,,
AsDB,4.16.2020,MDB,Covid,,,2.9,2.9,Samoa,Asia/Oceania,4315.920675,6787.131426,Upper middle income,General,,ADB Provides $2.9 Million Assistance for Samoa's COVID-19 Response,https://www.adb.org/news/adb-provides-2-9-million-assistance-samoas-covid-19-response,,,,,,,
AsDB,4.13.2020,MDB,Covid,,"13,500",,,,Asia/Oceania,#NV,#NV,#NV,General,,The Asian Development Bank (ADB) today tripled the size of its response to the novel coronavirus disease (COVID-19) pandemic to $20 billion and approved measures to streamline its operations for quicker and more flexible delivery of assistance.,https://www.adb.org/news/adb-triples-covid-19-response-package-20-billion,,,,,,,
AsDB,4.9.2020,MDB,Covid,,,20,50,Pakistan,Asia/Oceania,1284.702041,4884.88139,Lower middle income,Health,,ADB Repurposes $50 Million from Pakistan's National Disaster Risk Management Fund to Help Combat COVID-19 Pandemic,https://www.adb.org/news/adb-repurposes-50-million-pakistans-ndrmf-help-combat-covid-19,,,,,,,
AsDB,4.8.2020,MDB,Covid,,,44,44,all developing members,Asia/Oceania,#NV,#NV,#NV,Health,,ADB Allocates $44 Million to Assist Countries Containing COVID-19,https://www.adb.org/news/adb-allocates-44-million-assist-countries-containing-covid-19,,,,,,,
AsDB,4.7.2020,MDB,Covid,,,0.47,0.47,Tonga,Asia/Oceania,..,..,Upper middle income,Health,,"ADB Announces $470,000 Grant to Help Tonga Combat COVID-19",https://www.adb.org/news/adb-announces-470000-grant-help-tonga-combat-covid-19,,,,,,,
AsDB,4.3.2020,MDB,Covid,,,0.2,0.2,Kyrgyz Republic,Asia/Oceania,1309.392992,5470.811536,Lower middle income,Health,,"ADB has approved $200,000 in emergency medical assistance to help the Kyrgyz Republic procure medical supplies and equipment.",https://www.adb.org/news/presidents-adb-kyrgyz-republic-discuss-banks-support-countrys-fight-against-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,0.32,0.32,Nauru,Asia/Oceania,9396.981967,12080.07459,High income,Health,,ADB Announces $1.53 Million in Grants to Help Pacific Combat COVID-19,https://www.adb.org/news/adb-announces-153-million-grants-help-pacific-combat-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,5,5,Philippines,Asia/Oceania,3485.084218,9277.374369,Lower middle income,Health,,ADB Launches $5 Million Project to Provide Food Supplies to Philippine Households Hard Hit by COVID-19,https://www.adb.org/news/adb-launches-5-million-project-provide-food-supplies-philippine-households-hard-hit-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,0.47,0.47,Micronesia,Asia/Oceania,..,..,Lower middle income,Health,,ADB Announces $1.53 Million in Grants to Help Pacific Combat COVID-19,https://www.adb.org/news/adb-announces-153-million-grants-help-pacific-combat-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,0.37,0.37,Marshall Islands,Asia/Oceania,..,..,Upper middle income,Health,,ADB Announces $1.53 Million in Grants to Help Pacific Combat COVID-19,https://www.adb.org/news/adb-announces-153-million-grants-help-pacific-combat-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,0.37,0.37,Tuvalu,Asia/Oceania,4059.029996,4465.230931,Upper middle income,Health,,ADB Announces $1.53 Million in Grants to Help Pacific Combat COVID-19,https://www.adb.org/news/adb-announces-153-million-grants-help-pacific-combat-covid-19,,,,,,,
AsDB,4.1.2020,MDB,Covid,,,0.2,0.2,Uzbekistan,Asia/Oceania,1724.841134,7288.765626,Lower middle income,Health,,"ADB has approved $200,000 in grant support to immediately address medical needs.",https://www.adb.org/news/adb-president-uzbekistan-deputy-prime-minister-discuss-support-covid-19-response,,,,,,,
AsDB,3.31.2020,MDB,Covid,,,20,20,China,Asia/Oceania,10261.67913,16784.65935,Upper middle income,General,,"The Asian Development Bank (ADB) and China Gas Holdings Ltd. (CGH) today signed a $20 million private sector loan agreement to support natural gas and liquefied petroleum gas (LPG) deliveries to households, hospitals, industry, and services crucial to the ongoing response to the novel coronavirus (COVID-19) and the post-pandemic recovery in Wuhan and other affected areas in Hubei province, the PeopleÕs Republic of China (PRC).",https://www.adb.org/news/adb-supports-china-gas-ensure-uninterrupted-gas-supplies-combat-covid-19-hubei-province,,,,,,,
AsDB,3.30.2020,MDB,Covid,,,2.5,2.5,Pakistan,Asia/Oceania,1284.702041,4884.88139,Lower middle income,Health,,"ADB Approves $2 Million Grant for Pakistan's Fight Against COVID-19 (in addition to previous $500,000)",https://www.adb.org/news/adb-approves-2-million-grant-pakistans-fight-against-covid-19,,,,,,,
AsDB,3.26.2020,MDB,Covid,,,1,1,Mongolia,Asia/Oceania,4295.235025,12819.94858,Lower middle income,Health,,ADB $1 Million Grant to Boost Mongolia's Fight Against COVID-19,https://www.adb.org/news/adb-1-million-grant-boost-mongolias-fight-against-covid-19,,,,,,,
AsDB,3.25.2020,MDB,Covid,,,0.6,0.6,Maldives,Asia/Oceania,10790.50024,19698.23575,Upper middle income,Health,,ADB Provides Assistance to Maldives to Combat COVID-19,https://www.adb.org/news/adb-provides-assistance-maldives-combat-covid-19,,,,,,,
AsDB,3.21.2020,MDB,Covid,,,3,3,Indonesia,Asia/Oceania,4135.569263,12301.7529,Upper middle income,Health,,ADB Approves $3 Million Grant to Support Indonesia's Fight Against COVID-19,https://www.adb.org/news/adb-approves-3-million-grant-support-indonesias-fight-against-covid-19,,,,,,,
AsDB,3.18.2020,MDB,Covid,,"6,500",,,,Asia/Oceania,#NV,#NV,#NV,General,,"The initial package includes approximately $3.6 billion in sovereign operations for a range of responses to the health and economic consequences of the pandemic, and $1.6 billion in nonsovereign operations for micro, small, and medium-sized enterprises, domestic and regional trade, and firms directly impacted. ADB will also mobilize about $1 billion in concessional resources through reallocations from ongoing projects and assessing possible needs for contingencies. ADB will make available $40 million in technical assistance and quick-disbursing grants.",https://www.adb.org/news/adb-announces-6-5-billion-initial-response-covid-19-pandemic,,,,,,,
AsDB,3.18.2020,MDB,Covid,,,1.6,1.6,Mongolia,Asia/Oceania,4295.235025,12819.94858,Lower middle income,Health,,"ADB Provides $1.4 Million to Strengthen Mongolia's COVID-19 Preparedness and another $225,000 in grants",https://www.adb.org/news/adb-provides-14-million-strengthen-mongolias-covid-19-preparedness,,,,,,,
AsDB,3.13.2020,MDB,Covid,,,,0.1,Tajikistan,Asia/Oceania,870.7875893,3519.822017,Low income,Health,,"$100,000 was reallocated from the Tajikistan Maternal and Child Health Integrated Care Project to finance COVID-19 prevention and mitigation, medical supplies, and equipment",https://www.adb.org/news/adb-announces-6-5-billion-initial-response-covid-19-pandemic,,,,,,,
AsDB,3.13.2020,MDB,Covid,,,3,3,Philippines,Asia/Oceania,3485.084218,9277.374369,Lower middle income,Health,,ADB Fast Tracks $3 Million Grant to Help the Philippines Fight COVID-19,https://www.adb.org/news/adb-fast-tracks-3-million-grant-help-philippines-fight-covid-19,,,,,,,
AsDB,3.13.2020,MDB,Covid,,,0.6,0.6,Sri Lanka,Asia/Oceania,3853.083693,13620.11848,Lower middle income,Health,,ADB Provides Assistance to Combat COVID-19 in Sri Lanka,https://www.adb.org/news/adb-provides-assistance-combat-covid-19-sri-lanka,,,,,,,
AsDB,3.12.2020,MDB,Covid,,,200,200,regional companies,Asia/Oceania,#NV,#NV,#NV,General,,ADB to Provide $200 Million to Support Strained Supply Chains in Fight Against COVID-19,https://www.adb.org/news/adb-provide-200-million-support-strained-supply-chains-fight-against-covid-19,,,,,,,
AsDB,2.26.2020,MDB,Covid,,,2,2,all developing members,Asia/Oceania,#NV,#NV,#NV,Health,,ADB Approves Another $2 Million to Help Asia and the Pacific Tackle Coronavirus,https://www.adb.org/news/adb-approves-another-2-million-help-asia-and-pacific-tackle-coronavirus,,,,,,,
AsDB,2.25.2020,MDB,Covid,,,18.6,18.6,China,Asia/Oceania,10261.67913,16784.65935,Upper middle income,Health,,"A CNY130 million ($18.6 million) private sector loan to a Wuhan, PRC-based pharmaceutical distributor to enable the continued supply of essential medicines and personal protective equipment",https://www.adb.org/news/adb-approves-cny130-million-private-sector-loan-support-coronavirus-response-prc,,,,,,,
AsDB,2.7.2020,MDB,Covid,,,2,2,"Cambodia, the People's Republic of China, the Lao People's Democratic Republic, Myanmar, Thailand, and Viet Nam",Asia/Oceania,#NV,#NV,#NV,Health,,The Asian Development Bank (ADB) today approved $2 million in new funding to support efforts to combat the spread of the novel coronavirus (nCoV).,https://www.adb.org/news/adb-initiates-coronavirus-response,,,,,,,
AsDB,1.27.2020,MDB,Covid,,,1.5,1.5,,Asia/Oceania,#NV,#NV,#NV,Health,,$1.5 million in loan savings from the ongoing GMS Health Security Project allocated to procure essential equipment for detection and personal protection,https://www.adb.org/news/adb-announces-6-5-billion-initial-response-covid-19-pandemic,,,,,,,
CAF,9.22.2020,MDB,Covid,,,0.38,0.38,Mexico,Americas,9863.072699,20410.70657,Upper middle income,Health,,"In order to support the response of the Health System of the United Mexican States to the pandemic, CAF Ðdevelopment bank of Latin America- made a donation of MXN 8.4 million that will be used for the purchase of nucleic extraction equipment for detection of COVID-19 in PCR tests and the corresponding inputs for them.",https://www.caf.com/es/actualidad/noticias/2020/09/covid-19-caf-apoya-a-mexico-con-donacion-de-equipos-para-pruebas-pcr/,,,,,,,
CAF,8.17.2020,MDB,Covid,,,350,350,Brazil,Americas,8717.186278,15258.85083,Upper middle income,General,,"CAF - Latin American development bank - today approved a US $ 350 million loan to the Ministry of Economy of Brazil to support the country in containing the social, economic and financial emergency generated by COVID-19.
 
 The financing will complement the fiscal initiatives already underway in the country and reinforce countercyclical economic measures aimed at reducing the effects of the Coronavirus pandemic on the country's most vulnerable economic and social sectors at this time.",https://www.caf.com/en/currently/news/2020/08/us-350-million-to-mitigate-the-economic-impact-of-covid-19-in-brazil/,,,,,,,
CAF,8.5.2020,MDB,Covid,,,350,350,Colombia,Americas,6432.387583,15643.73145,Upper middle income,General,,"CAF -development bank of Latin America- approved a loan of USD 350 million in favor of Colombia to financially support the emergency measures adopted by the National Government to contain the social, economic and financial emergency generated by COVID-19.",https://www.caf.com/es/actualidad/noticias/2020/08/usd-350-millones-para-mitigar-el-impacto-economico-del-covid19-en-colombia/,,,,,,,
CAF,8.5.2020,MDB,Covid,,,0.75,0.75,Venezuela,Americas,..,..,Upper middle income,Health,,"Through the emergency aid program for its shareholder countries in the context of the COVID-19 pandemic, CAF granted non-reimbursable funds in the amount of USD 750,000 to support Venezuelans. The funds will be directly managed by PAHO, and 70% of them have been invested in laboratory supplies that have helped perform50,000 molecular tests at the Rafael Rangel National Institute of Hygiene, and the delivery of protective equipment to health care personnel in 31 hospitals and health care centers, among others.",https://www.caf.com/en/currently/news/2020/08/venezuelans-can-rely-on-caf-and-paho-to-cope-with-covid-19/,,,,,,,
CAF,7.7.2020,MDB,Covid,,,100,100,Barbados,Americas,18148.24493,16286.97952,High income,General,,"CAF -Development Bank of Latin America- approved a US$ 100 million loan to support BarbadosÕ fiscal management, implemented to mitigate the effects of COVID-19 on the economic, financial and social sectors.",https://www.caf.com/en/currently/news/2020/07/caf-approves-usd-100-million-to-mitigate-the-economic-impact-of-covid19-in-barbados/,,,,,,,
CAF,6.29.2020,MDB,Covid,,,150,150,Trinidad and Tobago,Americas,17276.46545,27260.81122,High income,General,,"The multilateral institution signed two loans with Trinidad and Tobago, one for US$ 100 million and the second for US$ 50 million. The first one will help to mitigate the economic impact of COVID-19, and the second one will contribute to finance the operational health emergency response.",https://www.caf.com/en/currently/news/2020/06/caf-lends-usd-150-million-to-respond-to-the-covid19-emergency-in-trinidad-and-tobago/,,,,,,,
CAF,5.13.2020,MDB,Covid,,,0.4,0.4,Spain,Eurasia,29613.67114,42214.13039,High income,General,,"Development Bank of Latin America - has donated USD 400,000 (approximately Û 370,000) to strengthen support for vulnerable populations affected by the health and social isolation situation generated by COVID-19",https://www.caf.com/es/actualidad/noticias/2020/05/caf-dona-usd-400000-para-apoyar-a-familias-vulnerables-en-espana-ante-el-covid-19/?parent=53444,,,,,,,
CAF,5.8.2020,MDB,Covid,,,350,350,Ecuador,Americas,6183.823825,11846.78056,Upper middle income,General,,"and the second, for USD 350 million, will financially support the economic program of the National Government to contain the social and economic emergency. and financial generated by COVID-19.",https://www.caf.com/es/actualidad/noticias/2020/05/caf-usd-400-millones-covid19-en-ecuador/?parent=53444,,,,,,,
CAF,5.6.2020,MDB,Covid,,,350,350,Panama,Americas,15731.01603,32762.49475,High income,General,,The Loan of free availability and quick disbursement will allow the government of Panama to advance in the measures of social and economic reactivation that it is applying to mitigate the impacts of the pandemic due to the new coronavirus in the country.,https://www.caf.com/es/actualidad/noticias/2020/05/covid-19-panama-recibira-usd-350-millones-de-caf-para-reforzar-sus-politicas-anticiclicas/?parent=53444,,,,,,,
CAF,5.5.2020,MDB,Covid,,,50,50,Uruguay,Americas,16190.12696,22454.65794,High income,Health,,CAF grants a USD 50 million loan to Uruguay to face Covid-19,https://www.caf.com/es/actualidad/noticias/2020/05/caf-otorga-prestamo-de-usd-50-millones-a-uruguay-para-enfrentar-al-covid19/?parent=53444,,,,,,,
CAF,5.5.2020,MDB,Covid,,,300,300,Argentina,Americas,10006.14897,22947.1398,Upper middle income,General,,"Within this framework, two fast-disbursing lines of financing are being approved : one to strengthen emergency response in the provinces for USD 40 million and the other to promote social policies in favor of the most vulnerable population in the country for USD 300 million .",https://www.caf.com/es/actualidad/noticias/2020/05/caf-refuerza-su-compromiso-con-argentina-para-impulsar-su-desarrollo-con-mas-de-usd-4000-millones/?parent=53444,,,,,,,
CAF,5.5.2020,MDB,Covid,,,40,40,Argentina,Americas,10006.14897,22947.1398,Upper middle income,Health,,"Within this framework, two fast-disbursing lines of financing are being approved : one to strengthen emergency response in the provinces for USD 40 million and the other to promote social policies in favor of the most vulnerable population in the country for USD 300 million .",https://www.caf.com/es/actualidad/noticias/2020/05/caf-refuerza-su-compromiso-con-argentina-para-impulsar-su-desarrollo-con-mas-de-usd-4000-millones/?parent=53444,,,,,,,
CAF,5.1.2020,MDB,Covid,,,285,285,Mexico,Americas,9863.072699,20410.70657,Upper middle income,General,,"Between March and April, resources of 5,916.6 million pesos were disbursed, which financed 135,368 MiPyMes through the credit line granted by CAF to NAFIN.",https://www.caf.com/es/actualidad/noticias/2020/09/covid-19-mas-de-135-mil-mipymes-mexicanas-se-benefician-de-la-alianza-entre-caf-y-nafin/?parent=53444,,,,,,,
CAF,4.20.2020,MDB,Covid,,,50,50,Panama,Americas,15731.01603,32762.49475,High income,Health,,Panama will count on financing for USD 50 million from CAF to strengthen its response capacity to COVID-19,https://www.caf.com/es/actualidad/noticias/2020/04/panama-contara-con-financiamiento-por-usd-50-millones-de-caf-para-fortalecer-su-capacidad-de-respuesta-ante-el-covid-19/?parent=53444,,,,,,,
CAF,4.17.2020,MDB,Covid,,,50,50,Bolivia,Americas,3552.068762,9086.060696,Lower middle income,Health,,CAF grants a USD 50 million credit to Bolivia to attend to the health emergency caused by COVID-19,https://www.caf.com/es/actualidad/noticias/2020/04/caf-otorga-credito-de-usd-50-millones-a-bolivia-para-atender-la-emergencia-sanitaria-ocasionada-por-el-covid-19/?parent=53444,,,,,,,
CAF,4.15.2020,MDB,Covid,,,50,50,Trinidad and Tobago,Americas,17276.46545,27260.81122,High income,General,,"CAF -Development Bank of Latin America- approved a USD 50 million loan to mitigate the Covid-19 health crisis in Trinidad and Tobago. This loan is added to the USD 400.000 donation that the financial institution made on April 3rd and will be complemented by further anti-cyclic support to mitigate the effects of the epidemic on economic activity. The present loan aims to strengthen Trinidad and Tobago's capacity to respond to and prevent the crisis caused by COVID-19, through direct financial resources and the recognition of expenses and investments aimed at reducing risk or mitigating the impact of the pandemic in the health of the population.",https://www.caf.com/en/currently/news/2020/04/caf-lends-usd-50-million-to-fight-covid-19-in-trinidad-and-tobago/,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Panama,Americas,15731.01603,32762.49475,High income,Health,,"CAF Ð development bank of Latin America- announced the delivery of a donation for humanitarian aid to the Republic of Panama with resources of Non-Refundable Technical Cooperation in the amount of USD 400,000",https://www.caf.com/es/actualidad/noticias/2020/04/panama-contara-con-mas-herramientas-para-enfrentar-el-covid-19-con-el-respaldo-de-caf/?parent=53444,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Trinidad and Tobago,Americas,17276.46545,27260.81122,High income,Health,,"CAF -development bank of Latin America- donated USD 400,000 to Trinidad and Tobago to strengthen the safety of people working in the prevention, mitigation and care of patients affected by the new coronavirus.",https://www.caf.com/es/actualidad/noticias/2020/04/caf-dona-usd-400000-a-trinidad-y-tobago-para-enfrentar-al-covid-19/?parent=53444,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Uruguay,Americas,16190.12696,22454.65794,High income,Health,,"CAF donated USD 400,000 to Uruguay to fight the coronavirus",https://www.caf.com/es/actualidad/noticias/2020/04/caf-dono-usd-400000-a-uruguay-para-combatir-al-coronavirus/?parent=53444,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Argentina,Americas,10006.14897,22947.1398,Upper middle income,Health,,CAF contributes USD 400 thousand to attend the coronavirus health emergency in Argentina,https://www.caf.com/es/actualidad/noticias/2020/04/caf-aporta-usd-400-mil-para-atender-la-emergencia-sanitaria-por-coronavirus-en-argentina/?parent=53444,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Paraguay,Americas,5414.799138,13210.30791,Upper middle income,Health,,"in addition to the donation of essential supplies and support to the health sector for USD 400,000 to Argentina , Ecuador , Panama , Paraguay , Peru , Trinidad and Tobago andUruguay .",https://www.caf.com/es/actualidad/noticias/2020/04/directorio-de-caf-aprueba-usd-2500-millones-para-enfrentar-el-covid-19/?parent=53444,,,,,,,
CAF,4.3.2020,MDB,Covid,,,0.4,0.4,Peru,Americas,6977.695784,13380.36442,Upper middle income,Health,,"in addition to the donation of essential supplies and support to the health sector for USD 400,000 to Argentina , Ecuador , Panama , Paraguay , Peru , Trinidad and Tobago andUruguay .",https://www.caf.com/es/actualidad/noticias/2020/04/directorio-de-caf-aprueba-usd-2500-millones-para-enfrentar-el-covid-19/?parent=53444,,,,,,,
CAF,4.2.2020,MDB,Covid,,,50.4,50.4,Ecuador,Americas,6183.823825,11846.78056,Upper middle income,Health,,"In addition to this donation (of $400,000), aimed at ensuring the safety of people working in the prevention, containment and care of COVID-19 patients, CAF approved a loan of USD 50 million to strengthen the response capacity of the public health system to this pandemic.",https://www.caf.com/es/actualidad/noticias/2020/04/caf-dona-usd-400000-para-enfrentar-al-coronavirus-en-ecuador/?parent=53444,,,,,,,
CAF,3.23.2020,MDB,Covid,,"2,500",,,,Americas,#NV,#NV,#NV,,,CAF makes USD 2.5 billion available to countries to protect the population and their economies,https://www.caf.com/es/actualidad/noticias/2020/03/coronavirus-caf-pone-a-disposicion-usd-2500-millones-a-los-paises-para-proteger-a-la-poblacion-y-sus-economias/?parent=53444,,,,,,,
CAF,3.3.2020,MDB,Covid,,305,,,,Americas,#NV,#NV,#NV,,,"CAF makes USD 300 million available to meet Coronavirus contingencies in Latin America.Additionally, the possibility of granting non-reimbursable technical cooperation of up to USD 5 million for initiatives related to this situation was also approved.",https://www.caf.com/en/currently/news/2020/03/caf-makes-usd-300-million-available-to-meet-coronavirus-contingencies-in-latin-america/,,,,,,,
EBRD,10.19.2020,MDB,Covid,,,25,25,Turkey,Middle East,9042.492983,27875.19325,Upper middle income,General,,The European Bank for Reconstruction and Development (EBRD) is providing a loan of up to US$ 25 million (Û22.5 million) to Alternatif Bank for on-lending to small and medium-sized enterprises (SMEs) and corporates affected by the economic impact of the coronavirus pandemic.,https://www.ebrd.com/news/2020/ebrd-extends-funds-to-turkeys-alternatif-bank.html,,,,,,,
EBRD,10.16.2020,MDB,Covid,,,3,3,Member regions,Eurasia,#NV,#NV,#NV,General,,The European Bank for Reconstruction and Development (EBRD) and the Food and Agriculture Organization of the United Nations (FAO) are stepping up their cooperation with a US$ 3 million advisory technical cooperation package to help the agrifood sector in the EBRDÕs regions to overcome the challenges of the coronavirus pandemic.,https://www.ebrd.com/news/2020/ebrd-and-fao-approve-covid19-technical-support-package-.html,,,,,,,
EBRD,10.14.2020,MDB,Covid,,,10,10,Palestine,Middle East,..,..,Lower middle income,General,,"The European Bank for Reconstruction and Development (EBRD) is contributing to the strengthening of the Palestinian economy with a US$ 10 million loan to The National Bank (TNB), one of the largest local banks in the West Bank and Gaza.",https://www.ebrd.com/news/2020/ebrd-strengthens-palestinian-small-businesses-during-coronavirus-pandemic.html,,,,,,,
EBRD,10.5.2020,MDB,Covid,,,10,10,Ukraine,Eurasia,3659.031312,13341.21052,Lower middle income,General,,"The EBRD financing will be extended to Palestinian micro, small and medium-sized enterprises and corporates to provide much-needed liquidity in order to overcome the economic impact of the coronavirus pandemic.",https://www.ebrd.com/news/2020/ebrd-provides-working-capital-loan-to-ukraines-astarta-.html,,,,,,,
EBRD,10.1.2020,MDB,Covid,,,50,50,Egypt,Africa,3020.03135,12250.78041,Lower middle income,General,,"The European Bank for Reconstruction and Development (EBRD) is boosting the resilience of the financial sector in Egypt and supporting equity financing to small and medium-sized businesses by investing up to US$ 50 million in LCP Fund II.
 
 Equity fundraising is facing extremely challenging times in the southern and eastern Mediterranean (SEMED) region due to the COVID-19 pandemic and small companies are facing a decrease in their activity and liquidity shortages. The EBRDÕs commitment to LCP Fund II helps to bring a SEMED fund to fruition during the crisis.",https://www.ebrd.com/news/2020/ebrd-invests-in-egyptfocused-private-equity-fund.html,,,,,,,
